comments_count,created_at,isLongText,like_count,mid,raw_text,reposts_count,source,user_id
62,18小时前,0,822,4446603563920729,"<span class=""url-icon""><img alt=[给力] src=""//h5.sinaimg.cn/m/emoticon/icon/others/f_geili-7e99751314.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[给力] src=""//h5.sinaimg.cn/m/emoticon/icon/others/f_geili-7e99751314.png"" style=""width:1em; height:1em;"" /></span>在上海迪士尼待了14个小时刷了13个项目的走心攻略！ 赶紧来马走～ <span class=""url-icon""><img alt=[心] src=""//h5.sinaimg.cn/m/emoticon/icon/others/l_xin-6912791858.png"" style=""width:1em; height:1em;"" /></span><a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E4%B8%8A%E6%B5%B7%E8%BF%AA%E5%A3%AB%E5%B0%BC%E8%B0%83%E6%95%B4%E7%A5%A8%E4%BB%B7%23&extparam=%23%E4%B8%8A%E6%B5%B7%E8%BF%AA%E5%A3%AB%E5%B0%BC%E8%B0%83%E6%95%B4%E7%A5%A8%E4%BB%B7%23&luicode=10000011&lfid=100103type%3D1%26q%3D%E4%B8%8A%E6%B5%B7%E8%BF%AA%E5%A3%AB%E5%B0%BC"" data-hide=""""><span class=""surl-text"">#上海迪士尼调整票价#</span></a> <a data-url=""http://t.cn/RJ2IpDz"" href=""https://m.weibo.cn/p/index?containerid=23065700428008631000000000000&luicode=10000011&lfid=100103type%3D1%26q%3D%E4%B8%8A%E6%B5%B7%E8%BF%AA%E5%A3%AB%E5%B0%BC"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_location_default.png'></span><span class=""surl-text"">上海</span></a> ",413,,6118811663
365,18小时前,0,160354,4446600874966045,"【投票：<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E4%B8%8A%E6%B5%B7%E8%BF%AA%E5%A3%AB%E5%B0%BC%E8%B0%83%E6%95%B4%E7%A5%A8%E4%BB%B7%23&extparam=%23%E4%B8%8A%E6%B5%B7%E8%BF%AA%E5%A3%AB%E5%B0%BC%E8%B0%83%E6%95%B4%E7%A5%A8%E4%BB%B7%23&luicode=10000011&lfid=100103type%3D1%26q%3D%E4%B8%8A%E6%B5%B7%E8%BF%AA%E5%A3%AB%E5%B0%BC"" data-hide=""""><span class=""surl-text"">#上海迪士尼调整票价#</span></a> 你去过上海迪士尼乐园吗？】 <a data-url=""http://t.cn/AieIvJdg"" href=""https://vote.weibo.com/h5/index/index?vote_id=2019_635786_-_675553&from=1110006030&weiboauthoruid=1642088277&luicode=10000011&lfid=100103type%3D1%26q%3D%E4%B8%8A%E6%B5%B7%E8%BF%AA%E5%A3%AB%E5%B0%BC"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_web_default.png'></span><span class=""surl-text"">财经网的微博投票</span></a> ",219,微博 weibo.com,1642088277
7,12-04,0,71,4445927374401308,"<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E7%8E%8B%E4%B8%80%E5%8D%9A%23&isnewpage=1&luicode=10000011&lfid=100103type%3D1%26q%3D%E4%B8%8A%E6%B5%B7%E8%BF%AA%E5%A3%AB%E5%B0%BC"" data-hide=""""><span class=""surl-text"">#王一博#</span></a>王一博上海迪士尼大雨中跳舞，王一博后劲太大了！我越来越爱他了咋办！！！ <a data-url=""http://t.cn/AiewJvoF"" href=""https://m.weibo.cn/p/index?containerid=2304444445919907610643&url_type=39&object_type=video&pos=1&luicode=10000011&lfid=100103type%3D1%26q%3D%E4%B8%8A%E6%B5%B7%E8%BF%AA%E5%A3%AB%E5%B0%BC"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_video_default.png'></span><span class=""surl-text"">律动popping的微博视频</span></a> ",15,微博网页,6042105371
9,7小时前,1,26,4446769313947276,"迪士尼玫玫缓缓倒下的画面，让无数拥有童心的人难受不已，这段视频在网络竟达到了近两亿的关注。

迪士尼乐园规定，演职人员不得随意摘下头套和衣服。孩子踏入迪士尼，就开始童话世界的冒险。他们希望永远都不去干扰大家的梦境，不去破坏所有人的童真。

穿着带皮毛的厚重衣服，在炎炎烈日下又唱又跳一小时。这个扮演玫玫的演职人员没有选择摘下头套，在身体不适的时候，仍旧希望守护着迪士尼的最后一丝童真和美好，守护着孩子们的梦！

雪梨枚是真实存在的，你一定要相信奇迹啊！这是她内心的坚守...请关怀每一个为你提供过便利或者带来快乐的工作者。祝愿每个人，都能拥有一个彼此尊重的美好。#上海迪士尼调整票价#
 http://t.cn/AiCDOC7B",3,HUAWEI Mate 20,2100708653
2,18小时前,0,11,4446597259818614,"<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E4%B8%8A%E6%B5%B7%E8%BF%AA%E5%A3%AB%E5%B0%BC%E8%B0%83%E6%95%B4%E7%A5%A8%E4%BB%B7%23&extparam=%23%E4%B8%8A%E6%B5%B7%E8%BF%AA%E5%A3%AB%E5%B0%BC%E8%B0%83%E6%95%B4%E7%A5%A8%E4%BB%B7%23&luicode=10000011&lfid=100103type%3D1%26q%3D%E4%B8%8A%E6%B5%B7%E8%BF%AA%E5%A3%AB%E5%B0%BC"" data-hide=""""><span class=""surl-text"">#上海迪士尼调整票价#</span></a> 要是降价不是更多人了？？？平日票也没涨啊，香港迪士尼也不便宜呢吧，咋一个个这么针对上海迪士尼呢。一边说要降价一边又嫌人多。<br />在环球影城开之前，其他的乐园根本就没有可比性<span class=""url-icon""><img alt=[挖鼻] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_wabishi-842338e697.png"" style=""width:1em; height:1em;"" /></span><br />不去就不去呗，谁还逼你了真是<span class=""url-icon""><img alt=[允悲] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_yunbei-9aa3c436a4.png"" style=""width:1em; height:1em;"" /></span> ",0,周震南兄弟Android,3891544070
1038,2小时前,0,578,4446839383997471,"【上海迪士尼启用X光机安检】针对部分游客反映安检慢、繁琐、不友好等问题，上海迪士尼乐园启用X光机安检。目前乐园的两个安检通道各新增一台X光机以及新的指示牌，其他安检通道仍为人工安检。游客反映，X光机安检比传统安检速度快了很多。<a data-url=""http://t.cn/AigDQu9v"" href=""http://miaopai.com/show/d4wTzPGZgIlMAXQmE1dy6ZeNKn2gllYyloHeDA__.htm?showurl=http%3A%2F%2Fmiaopai.com%2Fshow%2Fd4wTzPGZgIlMAXQmE1dy6ZeNKn2gllYyloHeDA__.htm&url_open_direct=1&toolbar_hidden=1&url_type=39&object_type=video&pos=1&containerid=2304424445499986477067&luicode=10000011&lfid=100103type%3D1%26q%3D%E4%B8%8A%E6%B5%B7%E8%BF%AA%E5%A3%AB%E5%B0%BC"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_video_default.png'></span><span class=""surl-text"">中新视频的秒拍视频</span></a> ",1042,微博 weibo.com,1792829601
0,3小时前,0,1,4446834812167878,"<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E4%B8%8A%E6%B5%B7%E8%BF%AA%E5%A3%AB%E5%B0%BC%E8%B0%83%E6%95%B4%E7%A5%A8%E4%BB%B7%23&extparam=%23%E4%B8%8A%E6%B5%B7%E8%BF%AA%E5%A3%AB%E5%B0%BC%E8%B0%83%E6%95%B4%E7%A5%A8%E4%BB%B7%23&luicode=10000011&lfid=100103type%3D1%26q%3D%E4%B8%8A%E6%B5%B7%E8%BF%AA%E5%A3%AB%E5%B0%BC"" data-hide=""""><span class=""surl-text"">#上海迪士尼调整票价#</span></a><a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E4%B8%8A%E6%B5%B7%E8%BF%AA%E5%A3%AB%E5%B0%BC%E6%9C%80%E9%AB%98%E4%BB%B7%E6%B6%A8%E8%87%B3699%E5%85%83%23&extparam=%23%E4%B8%8A%E6%B5%B7%E8%BF%AA%E5%A3%AB%E5%B0%BC%E6%9C%80%E9%AB%98%E4%BB%B7%E6%B6%A8%E8%87%B3699%E5%85%83%23&luicode=10000011&lfid=100103type%3D1%26q%3D%E4%B8%8A%E6%B5%B7%E8%BF%AA%E5%A3%AB%E5%B0%BC"" data-hide=""""><span class=""surl-text"">#上海迪士尼最高价涨至699元#</span></a>這是一個搶錢的時代，上海迪士尼先下手為強！ <a data-url=""http://t.cn/AieiAViV"" href=""https://m.weibo.cn/p/index?containerid=2313474446791117439161&extparam=6460795515%7Clmid%3A4446834812167878&luicode=10000011&lfid=100103type%3D1%26q%3D%E4%B8%8A%E6%B5%B7%E8%BF%AA%E5%A3%AB%E5%B0%BC"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2016/11/23/433/wenda_icon_default.png'></span><span class=""surl-text"">上海迪士尼最高价涨至699元，你觉得这次调整合理吗？</span></a> ",0,,1420657134
0,4小时前,0,2,4446812674626748,"最好的时光在路上，一路向阳！<br /><a  href=""https://m.weibo.cn/p/index?containerid=2306570042B2094757D068A3FD409A&luicode=10000011&lfid=100103type%3D1%26q%3D%E4%B8%8A%E6%B5%B7%E8%BF%AA%E5%A3%AB%E5%B0%BC"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_location_default.png'></span><span class=""surl-text"">上海·上海迪士尼乐园</span></a> <a data-url=""http://t.cn/AigLHmUK"" href=""https://m.weibo.cn/p/index?containerid=2306570042B2094757D068A3FD409A&luicode=10000011&lfid=100103type%3D1%26q%3D%E4%B8%8A%E6%B5%B7%E8%BF%AA%E5%A3%AB%E5%B0%BC"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_location_default.png'></span><span class=""surl-text"">上海·上海迪士尼乐园</span></a> <a data-url=""http://t.cn/AieiWfXQ"" href=""https://m.weibo.cn/p/index?containerid=2304444446812451307535&url_type=39&object_type=video&pos=1&luicode=10000011&lfid=100103type%3D1%26q%3D%E4%B8%8A%E6%B5%B7%E8%BF%AA%E5%A3%AB%E5%B0%BC"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_video_default.png'></span><span class=""surl-text"">2019年的常杀人的微博视频</span></a> ",0,⑳⑲富贵iPhone 11,1732499253
7,11小时前,0,16,4446713454073985,"<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E4%B8%8A%E6%B5%B7%E8%BF%AA%E5%A3%AB%E5%B0%BC%E8%B0%83%E6%95%B4%E7%A5%A8%E4%BB%B7%23&extparam=%23%E4%B8%8A%E6%B5%B7%E8%BF%AA%E5%A3%AB%E5%B0%BC%E8%B0%83%E6%95%B4%E7%A5%A8%E4%BB%B7%23&luicode=10000011&lfid=100103type%3D1%26q%3D%E4%B8%8A%E6%B5%B7%E8%BF%AA%E5%A3%AB%E5%B0%BC"" data-hide=""""><span class=""surl-text"">#上海迪士尼调整票价#</span></a>广东人表示：有这个钱，还不如去香港迪士尼，起码不用排队<span class=""url-icon""><img alt=[挖鼻] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_wabishi-842338e697.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[挖鼻] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_wabishi-842338e697.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[挖鼻] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_wabishi-842338e697.png"" style=""width:1em; height:1em;"" /></span> <a data-url=""http://t.cn/RxDcoRl"" href=""https://m.weibo.cn/p/index?containerid=23065700428008644060000000000&luicode=10000011&lfid=100103type%3D1%26q%3D%E4%B8%8A%E6%B5%B7%E8%BF%AA%E5%A3%AB%E5%B0%BC"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_location_default.png'></span><span class=""surl-text"">佛山</span></a> ",0,iPhone客户端,2060672713
1,5小时前,0,15,4446795818492068,"上海迪士尼乐园两日游<br /><br />P1   提前准备<br />P2  入园事项<br />P3~P4  游乐设施体验感以及注意事项<br />P5 一张照片<span class=""url-icon""><img alt=[笑而不语] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_heiheihei-f7ca09d6e8.png"" style=""width:1em; height:1em;"" /></span><br />P6 米奇童话专列&amp;点亮奇梦夜光幻影秀<br />P7  娱乐演出&amp;合影项目<br />P8  餐饮小吃<br />P9  拍照购物&amp;总结<br /><a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E4%B8%8A%E6%B5%B7%E7%8E%A9%E4%B9%90%23&isnewpage=1&luicode=10000011&lfid=100103type%3D1%26q%3D%E4%B8%8A%E6%B5%B7%E8%BF%AA%E5%A3%AB%E5%B0%BC"" data-hide=""""><span class=""surl-text"">#上海玩乐#</span></a><a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E4%B8%8A%E6%B5%B7%E8%BF%AA%E5%A3%AB%E5%B0%BC%23&isnewpage=1&luicode=10000011&lfid=100103type%3D1%26q%3D%E4%B8%8A%E6%B5%B7%E8%BF%AA%E5%A3%AB%E5%B0%BC"" data-hide=""""><span class=""surl-text"">#上海迪士尼#</span></a><br />分享来自：HeyDan嘿丹 ",8,微博 weibo.com,2846632611
