description,follow_count,followers_count,gender,profile_url,screen_name,user_id,verified,verified_reason
分享一切有关上海的吃喝玩乐攻略！我是攻略君。😊 我爱上海~~~✌️,73,1340988,f,https://m.weibo.cn/u/6118811663?uid=6118811663&luicode=10000011&lfid=100103type%3D1%26q%3D%E4%B8%8A%E6%B5%B7%E8%BF%AA%E5%A3%AB%E5%B0%BC,上海攻略君,6118811663,True,本地资讯博主（上海） 城市生活家 微博故事原创作者
商务合作： 廖先生 QQ ：3196598336 邮箱：kailiao@caijing.com.cn,955,35303840,m,https://m.weibo.cn/u/1642088277?uid=1642088277&luicode=10000011&lfid=100103type%3D1%26q%3D%E4%B8%8A%E6%B5%B7%E8%BF%AA%E5%A3%AB%E5%B0%BC,财经网,1642088277,True,财经网官方微博
律动popping，从此刻动起来~,39,182145,m,https://m.weibo.cn/u/6042105371?uid=6042105371&luicode=10000011&lfid=100103type%3D1%26q%3D%E4%B8%8A%E6%B5%B7%E8%BF%AA%E5%A3%AB%E5%B0%BC,律动popping,6042105371,True,微博舞蹈视频自媒体
,2176,128063,m,https://m.weibo.cn/u/2100708653?uid=2100708653&luicode=10000011&lfid=100103type%3D1%26q%3D%E4%B8%8A%E6%B5%B7%E8%BF%AA%E5%A3%AB%E5%B0%BC,河南好网民,2100708653,True,知名情感博主
和平使者🐷,308,205,f,https://m.weibo.cn/u/3891544070?uid=3891544070&luicode=10000011&lfid=100103type%3D1%26q%3D%E4%B8%8A%E6%B5%B7%E8%BF%AA%E5%A3%AB%E5%B0%BC,G得来滚玲蛋蛋,3891544070,False,
简介： 分享美食，旅游，上海生活，上海新闻，上海身边事,341,6175980,f,https://m.weibo.cn/u/1792829601?uid=1792829601&luicode=10000011&lfid=100103type%3D1%26q%3D%E4%B8%8A%E6%B5%B7%E8%BF%AA%E5%A3%AB%E5%B0%BC,上海身边的那些事儿,1792829601,True,本地资讯博主（上海）
"著名电子商务专家;品牌运营专家;潇彧咨询创始人;望谟爱心之旅发起人。品味咖啡与茶;痴迷电商嗜好美食;以烘焙文字为乐,品牌策划为生。+ wx: clibaba",543,456555,m,https://m.weibo.cn/u/1420657134?uid=1420657134&luicode=10000011&lfid=100103type%3D1%26q%3D%E4%B8%8A%E6%B5%B7%E8%BF%AA%E5%A3%AB%E5%B0%BC,潇彧,1420657134,True,电子商务专家、品牌运营专家、微博扶贫乡村振兴助威团成员 头条文章作者
做一个耐撕的人！,2222,56811,m,https://m.weibo.cn/u/1732499253?uid=1732499253&luicode=10000011&lfid=100103type%3D1%26q%3D%E4%B8%8A%E6%B5%B7%E8%BF%AA%E5%A3%AB%E5%B0%BC,2019年的常杀人,1732499253,False,
,90,38,f,https://m.weibo.cn/u/2060672713?uid=2060672713&luicode=10000011&lfid=100103type%3D1%26q%3D%E4%B8%8A%E6%B5%B7%E8%BF%AA%E5%A3%AB%E5%B0%BC,winny184,2060672713,False,
上海吃喝玩乐风向标！让小浪带你玩遍大上海！http://sh.travel.sina.com.cn/,698,1578044,f,https://m.weibo.cn/u/2846632611?uid=2846632611&luicode=10000011&lfid=100103type%3D1%26q%3D%E4%B8%8A%E6%B5%B7%E8%BF%AA%E5%A3%AB%E5%B0%BC,玩乐上海,2846632611,True,新浪上海旅游频道官方微博
热门表情包分享₍₍ ง⍢⃝ว ⁾⁾,83,3895,f,https://m.weibo.cn/u/7299466812?uid=7299466812&luicode=10000011&lfid=100103type%3D1%26q%3D%E4%B8%8A%E6%B5%B7%E8%BF%AA%E5%A3%AB%E5%B0%BC,表情安利君bot,7299466812,False,
没有人比你自己更了解自己。,1038,309383,m,https://m.weibo.cn/u/2639278851?uid=2639278851&luicode=10000011&lfid=100103type%3D1%26q%3D%E4%B8%8A%E6%B5%B7%E8%BF%AA%E5%A3%AB%E5%B0%BC,悄悄围观,2639278851,True,知名互联网资讯博主
让故事越简短 让甜度越高 让我离你更近,232,219274,m,https://m.weibo.cn/u/3822710584?uid=3822710584&luicode=10000011&lfid=100103type%3D1%26q%3D%E4%B8%8A%E6%B5%B7%E8%BF%AA%E5%A3%AB%E5%B0%BC,全是狗粮呀,3822710584,False,
网罗政法资讯 关注法治民生,280,40988,f,https://m.weibo.cn/u/1988563285?uid=1988563285&luicode=10000011&lfid=100103type%3D1%26q%3D%E4%B8%8A%E6%B5%B7%E8%BF%AA%E5%A3%AB%E5%B0%BC,上海长安网,1988563285,True,中共上海市委政法委员会官方微博
预约V❤：467166，泰国普吉岛成人秀、王权免税店、新罗免税店免费接送+免费自助餐+优惠券。全岛接送，中文全程服务。,1431,134048,f,https://m.weibo.cn/u/3798850551?uid=3798850551&luicode=10000011&lfid=100103type%3D1%26q%3D%E4%B8%8A%E6%B5%B7%E8%BF%AA%E5%A3%AB%E5%B0%BC,普吉岛王权新罗接送,3798850551,True,知名旅游博主 普吉岛超话主持人 旅行视频自媒体
我们是新民晚报也是新民网 好玩实用 关注了你就知道 上海新闻爆料请发私信或打15900430043。新民晚报24小时读者热线962555,595,3737879,f,https://m.weibo.cn/u/1737737970?uid=1737737970&luicode=10000011&lfid=100103type%3D1%26q%3D%E4%B8%8A%E6%B5%B7%E8%BF%AA%E5%A3%AB%E5%B0%BC,新民晚报新民网,1737737970,True,新民晚报新民网官方微博
商务合作 VX：zj321ggggg,1147,1333476,m,https://m.weibo.cn/u/2661992301?uid=2661992301&luicode=10000011&lfid=100103type%3D1%26q%3D%E4%B8%8A%E6%B5%B7%E8%BF%AA%E5%A3%AB%E5%B0%BC,买家张俊,2661992301,True,知名互联网资讯博主 头条文章作者 微博签约自媒体
执新浪之笔，讲山东故事,631,1684012,m,https://m.weibo.cn/u/1870549587?uid=1870549587&luicode=10000011&lfid=100103type%3D1%26q%3D%E4%B8%8A%E6%B5%B7%E8%BF%AA%E5%A3%AB%E5%B0%BC,新浪山东头条,1870549587,True,新浪山东头条官方微博
与你分享重庆最热门，最时尚，最IN 的餐厅，酒吧，咖啡馆，购物和生活文化资讯与吃喝玩乐信息！QQ:2793277644 电话：18723385515,3161,1092262,f,https://m.weibo.cn/u/2191319813?uid=2191319813&luicode=10000011&lfid=100103type%3D1%26q%3D%E4%B8%8A%E6%B5%B7%E8%BF%AA%E5%A3%AB%E5%B0%BC,重庆吃喝玩乐精选,2191319813,True,本地资讯博主（重庆）
成都文明网官方微博 成都好人线索爆料邮箱：361833431@qq.com。,544,501077,f,https://m.weibo.cn/u/2139684615?uid=2139684615&luicode=10000011&lfid=100103type%3D1%26q%3D%E4%B8%8A%E6%B5%B7%E8%BF%AA%E5%A3%AB%E5%B0%BC,文明成都,2139684615,True,成都市精神文明建设办公室官方微博
亲善产生幸福，文明带来和谐。,504,549846,m,https://m.weibo.cn/u/1002023885?uid=1002023885&luicode=10000011&lfid=100103type%3D1%26q%3D%E4%B8%8A%E6%B5%B7%E8%BF%AA%E5%A3%AB%E5%B0%BC,搞笑大当家,1002023885,True,知名搞笑幽默博主 搞笑视频自媒体
"提供财经资讯、商业故事、各界观点，关注制度建设。微信搜索&lt;21世纪经济报道&gt;或加&lt;jjbd21&gt;,更多精彩内容等着你。",734,17137497,m,https://m.weibo.cn/u/1651428902?uid=1651428902&luicode=10000011&lfid=100103type%3D1%26q%3D%E4%B8%8A%E6%B5%B7%E8%BF%AA%E5%A3%AB%E5%B0%BC,21世纪经济报道,1651428902,True,21世纪经济报道官方微博
“公开信息，服务民生，沟通交流，凝聚民心”，“上海宝山发布”是上海市宝山区人民政府官方微博，欢迎关注、围观。联系：shbsfb@163.com或私信。,1602,569382,m,https://m.weibo.cn/u/2719969734?uid=2719969734&luicode=10000011&lfid=100103type%3D1%26q%3D%E4%B8%8A%E6%B5%B7%E8%BF%AA%E5%A3%AB%E5%B0%BC,上海宝山发布,2719969734,True,上海市宝山区人民政府官方微博
